schedule,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
tariff_income,288.2434690378992,315.48900605363013,345.0243559406032,418.52803718962207,457.86215152710906,500.8656759337982,548.1407579054091,600.3844355172519,654.0466555301218,711.2962268696823,774.1157786490455,878.0364722716835
grants,33.67767905157126,19.14838847486624,22.035189163238424,164.98117240477885,31.19296137450557,35.27863271857766,39.9002604466007,45.1281738092919,0.0,0.0,0.0,0.0
lt_subsidies,0.0,0.0,0.0,37.083953434911244,21.667620144993194,21.121081989113257,21.498476322915753,22.824044754425422,19.68588415573625,16.124404425694355,13.064777437100846,0.0
service_margin,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
revenues,321.9211480894705,334.6373945284964,367.05954510384163,620.5931630293121,510.7227330466078,557.2653906414891,609.5394946749257,668.3366540809692,673.7325396858581,727.4206312953767,787.1805560861463,878.0364722716835
upstream_cost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opex,133.3186884797369,136.80030415314718,140.8068063221412,170.80416283159514,176.47575777359816,182.8902213599571,190.14500273889027,198.3503385274891,206.2570795640217,214.55838162433326,223.77805446346346,234.29446236361898
provisions,4.4130407875733395,2.5091580457929874,2.8874373554767963,21.61872977912323,4.087449453393089,4.622825844931225,5.228432651668521,5.9134856468029815,5.6982920427815476,5.9826473709507155,6.644506014996985,7.579047192670043
costs,137.73172926731021,139.30946219894017,143.694243677618,192.42289261071835,180.56320722699124,187.51304720488832,195.3734353905588,204.26382417429207,211.95537160680325,220.54102899528397,230.42256047846044,241.873509556289
acofservice,209.363340214385,236.13710840178436,265.8886479917415,455.6119906245329,479.52977167210247,521.9867579229116,569.6392342283251,623.2084802716765,673.7325396858574,727.4206312953761,787.1805560861458,867.6428784937283
ebitda,184.18941882216023,195.3279323295562,223.36530142622362,428.17027041859376,330.1595258196166,369.75234343660077,414.16605928436684,464.07282990667716,461.77716807905483,506.8796023000927,556.7579956076859,636.1629627153945
da,7.401687703642034,11.610124731085193,16.453023448280476,52.71262177900107,59.56821768548579,67.3217633379204,76.09105134816238,86.00933130624841,95.56668193477273,105.60096206322402,116.74533186068118,129.45714285714286
ebit,176.7877311185182,183.717807598471,206.91227797794315,375.45764863959266,270.5913081341308,302.43058009868037,338.07500793620443,378.0634986004287,366.2104861442821,401.2786402368687,440.0126637470047,506.70581985825174
financial_expenses,0.0,0.0,0.0,36.780948922897956,36.780948922897956,36.780948922897956,36.780948922897956,36.780948922897956,36.780948922897956,35.309710965982035,33.83847300906612,32.36723505215021
ebt,176.7877311185182,183.717807598471,206.91227797794315,338.67669971669477,233.81035921123285,265.6496311757824,301.29405901330654,341.2825496775308,329.4295372213842,365.9689292708867,406.17419073793855,474.33858480610155
ebt_cum,143.11005206694696,164.5694191236048,184.8770888147047,136.61157387700467,180.94977769173408,209.2499164680915,239.89532224379002,273.3303311138135,309.74365306564795,349.8445248451923,393.1094133008377,474.33858480610155
profit,143.11005206694696,164.5694191236048,184.8770888147047,136.61157387700467,180.94977769173408,209.2499164680915,239.89532224379002,273.3303311138135,309.74365306564795,349.8445248451923,393.1094133008377,474.33858480610155
loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loss_used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p_or_l,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
taxable,143.11005206694696,164.5694191236048,184.8770888147047,136.61157387700467,180.94977769173408,209.2499164680915,239.89532224379002,273.3303311138135,309.74365306564795,349.8445248451923,393.1094133008377,474.33858480610155
taxes,40.07081457874515,46.07943735460935,51.76558486811732,38.251240685561314,50.66593775368555,58.58997661106562,67.17069022826121,76.53249271186777,86.72822285838143,97.95646695665386,110.07063572423456,132.81480374570845
cum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cash_flow,0.0,0.0,0.0,-459.76186153622433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
debt,0.0,0.0,0.0,459.76186153622444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.390474461448978,18.390474461448978,18.390474461448978
equity,114.94046538405611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capex_data,259.0590696274712,147.29529596050955,169.50145510183404,1269.0859415752218,239.9458567269659,271.37409783521275,306.9250803584669,347.13979853301464,334.5072719983505,351.19980449579566,390.0529429109993,444.9133848761576
rab,251.65738192382918,387.3425531532535,540.3909848068072,1756.7643046030275,1937.1419436445076,2141.1942781417997,2372.028307152105,2633.158774378871,2872.099364442449,3117.6982068750212,3391.0058179253397,3706.462059944354
wc,12.73354360752019,14.686742621957503,16.78500407822975,20.360866385591255,23.127648801658427,26.13496886908283,29.42430864382347,33.04389838272023,36.804622682145215,40.82776810235745,45.233237604294416,52.91030218422448
dwc,0.0,1.9531990144373128,2.0982614562722475,3.575862307361504,2.766782416067173,3.007320067424402,3.2893397747406397,3.6195897388967637,3.760724299424986,4.023145420212238,4.405469501936963,7.677064579930061
treceivables,23.691244030512262,25.930603237284668,28.35816624169341,34.39956470051688,37.63250560496787,41.16704185757245,45.0526650333213,49.34666593292481,53.75725935864015,58.46270357833005,63.62595440951059,72.16738128260411
tpayables,10.957700422992072,11.243860615327165,11.57316216346366,14.038698314925627,14.504856803309437,15.032072988489624,15.62835638949783,16.30276755020458,16.952636676494933,17.634935475972597,18.392716805216175,19.25707909837964
